Jump_Number,Timestamp,Peak_Value,Peak_Index,Release_Index,Landing_Index
1,2025-04-15 00:09:20.412000+00:00,-0.4,574,540,588
2,2025-04-15 00:09:21.394000+00:00,-0.0,631,616,648
3,2025-04-15 00:09:24.194000+00:00,-0.08,798,658,677
4,2025-04-15 00:09:26.711000+00:00,-0.6,935,777,810
5,2025-04-15 00:09:35.173000+00:00,-0.12,1421,925,940
6,2025-04-15 00:09:45.095000+00:00,-0.2,1974,971,1001
7,2025-04-15 00:09:48.323000+00:00,-0.2,2149,1105,1140
8,2025-04-15 00:09:49.903000+00:00,-0.6799999999999999,2229,1162,1192
9,2025-04-15 00:09:51.369000+00:00,-0.2,2314,1398,1431
10,2025-04-15 00:09:54.158000+00:00,-0.2,2462,1632,1656
